--- START DATA ---
CYCLE_ID:1
0,-116,0
1,-119,81
0,-128,34
0,-128,0
9,-128,2
0,-125,0
36,-128,8
160,-94,64
2,-128,0
128,-120,98
32,-112,0
0,-120,40
36,-124,24
136,-126,1
0,-128,0
16,-128,0
0,-128,64
128,-88,2
0,-128,0
36,-128,48
4,-128,0
128,-120,0
3,-96,18
128,-121,0
0,-128,4
0,-126,0
40,-128,72
24,-126,68
128,-127,64
32,-126,66
2,-124,16
0,-95,0
65,-112,72
0,-128,4
0,-256,64
160,-95,80
16,-126,2
0,-208,0
16,-128,28
0,-124,19
3,-128,8
1,-112,0
0,-120,0
0,-94,64
4,-112,0
1,-123,4
12,-128,4
12,-128,0
16,-96,6
18,-128,0
12,-124,64
66,-124,13
2,-128,16
64,-124,0
0,-128,56
1,-96,0
0,-128,16
20,-128,8
0,-128,0
32,-128,32
17,-248,24
0,-122,0
98,-127,64
32,-124,72
6,-96,37
161,-128,0
0,-128,0
4,-126,0
0,-128,8
4,-112,70
16,-128,0
2,-128,0
0,-128,0
0,-128,0
8,-128,33
48,-128,0
0,-96,64
66,-128,32
2,-128,72
0,-256,0
8,-256,80
88,-64,9
0,-128,1
0,-128,64
0,-126,0
6,-128,58
12,-128,76
100,-128,0
0,-96,80
0,-128,64
160,0,13
49,132,30
43,8,49
128,6,0
160,0,104
146,69,8
55,130,33
50,2,65
9,-54,93
67,-206,66
0,-256,32
49,-128,84
16,-112,33
160,-82,66
129,-127,72
64,-128,64
2,-127,34
32,-126,68
0,-95,18
32,-100,2
17,-126,28
5,-128,0
6,-90,0
132,-128,0
166,-119,70
48,-127,82
10,-112,65
116,-119,80
150,-192,66
19,-117,98
99,-113,84
7,-127,64
141,-108,73
32,-120,64
140,-124,44
18,-106,60
112,-112,65
130,-63,80
144,-126,32
114,-116,96
129,-128,80
130,-95,108
133,-128,64
1,-96,64
24,-94,32
0,-94,1
32,-126,49
32,-111,35
128,-76,0
88,-126,67
20,-111,64
17,-64,96
6,-104,68
128,-128,111
132,-112,16
131,-128,102
0,-120,8
1,-128,8
136,-123,70
74,-124,129
0,-128,96
168,-127,1
3,-120,0
96,-224,12
16,-126,1
1,-95,53
3,-96,64
129,-127,37
32,-110,66
168,-121,1
132,-189,65
128,-128,72
32,-127,112
129,-80,96
9,-119,96
64,-128,14
0,-152,125
10,-245,66
16,-218,68
13,-100,0
47,-96,102
17,-106,96
116,-112,1
102,-108,20
153,-104,68
128,-125,38
133,-94,72
24,-128,64
96,-103,16
13,-94,96
128,-92,67
132,-80,0
76,-86,64
161,-125,4
6,-128,0
131,-126,0
48,-128,84
17,-120,116
97,-128,0
104,-96,0
0,-112,40
131,-86,82
129,-110,4
86,-127,108
73,-120,76
16,-122,65
32,-120,44
10,-112,48
2,-92,8
128,-64,9
36,-92,24
116,-88,25
128,-95,80
32,-111,97
0,-128,8
161,-96,17
0,-116,56
0,-126,68
64,-126,96
4,-128,34
96,-112,98
73,-80,78
98,-107,0
9,-104,80
128,-127,33
66,-87,82
4,-110,104
0,-224,112
65,-120,99
32,-120,4
106,-126,36
22,-100,75
103,-119,17
40,-128,64
20,-218,84
128,-127,80
4,-128,2
16,-95,64
4,-126,96
1,-128,126
86,-120,64
20,-119,64
8,-92,16
144,-101,0
88,-128,96
130,-120,66
114,-128,16
8,-125,66
24,-76,4
69,-86,97
49,-116,65
140,-96,66
9,-128,83
0,-256,64
20,-123,6
32,-96,4
128,-88,28
0,-224,32
4,-126,75
113,-128,2
32,-111,16
33,-80,39
16,-116,65
40,-103,16
70,-127,48
129,-111,76
128,-79,80
129,-60,12
64,-94,85
137,-91,0
132,-126,41
80,-127,80
112,-123,52
128,-102,2
65,-219,55
1,-224,8
18,-94,64
24,-122,69
107,-250,89
0,-96,34
80,-126,1
80,-128,96
72,-111,116
1,-128,64
66,-230,4
70,-92,137
2,-80,49
6,-122,4
161,-91,52
128,-120,0
34,-124,33
40,-203,42
4,-231,66
132,-112,64
0,-120,69
9,-111,74
113,-128,2
0,-119,36
2,-70,24
64,-89,12
96,-127,6
128,-94,77
20,-126,88
8,-116,64
148,-92,7
66,-90,11
132,-127,0
22,-112,64
4,-112,0
0,-78,129
33,-80,0
0,-119,72
32,-99,128
16,-124,32
130,-124,47
82,-124,1
104,-214,6
40,-88,66
73,-92,19
7,-112,44
173,-126,25
144,-79,64
65,-122,6
22,-128,75
136,-90,5
130,-188,0
135,-111,100
1,-74,64
2,-111,0
0,-115,130
57,-128,1
0,-86,7
116,-94,0
80,-56,32
8,-120,0
0,-92,33
163,-59,68
14,-96,115
128,-128,16
12,-96,65
66,-223,64
64,-96,66
4,-123,109
2,-112,10
2,-112,22
40,-236,66
65,-127,97
0,-126,81
130,-127,6
156,-217,32
68,-128,0
9,-120,2
25,-124,4
